Dias,Df
1,0.999930560377752
2,0.999861130398556
94,0.993626845085184
186,0.987644310466679
276,0.981996939403773
367,0.976204316979028
553,0.963507519308713
732,0.947987920034225
1099,0.915857035919704
1463,0.880731561263243
1828,0.841576734733036
2193,0.803740940375309
2559,0.76189953675612
2926,0.721690226130823
3290,0.685388578231607
3654,0.651517357411468
4385,0.594354931706292
5481,0.518387277929603
7308,0.394576444033741
