3M,0.0245515
6M,0.0242015
9M,0.0239015
1Y,0.0239015
18M,0.0246515
2Y,0.0264015
3Y,0.0289015
4Y,0.0313015
5Y,0.0339015
6Y,0.0357015
7Y,0.0379015
8Y,0.0396015
9Y,0.0407015
10Y,0.0415015
12Y,0.0420515
15Y,0.0425515
20Y,0.0445515
